menu_id	parent_id	order_num	menu_type	menu_name	path	component	perms	visible	status	is_frame
1671	1662	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1669	1662	4	F	充值记录删除(未确认)		NULL	digital:adveraccountRecharge:remove	0	0	1
1673	1662	5	F	确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1678	1663	1	F	收款查询		NULL	digital:cashrecharge:list	0	0	1
1692	1663	2	F	申请收款		NULL	digital:cashrecharge:add	0	0	1
1676	1663	3	F	修改收款		NULL	digital:cashrecharge:edit	0	0	1
1677	1663	4	F	删除收款(未确认)		NULL	digital:cashrecharge:remove	0	0	1
1679	1664	1	F	转户记录查询		NULL	digital:transferaccount:list	0	0	1
1688	1664	2	F	账户转户申请		NULL	digital:transferaccount:add	0	0	1
1689	1664	4	F	转户记录删除(未确认)		NULL	digital:transferaccount:remove	0	0	1
1681	1664	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1682	1665	1	F	退币记录查询		NULL	digital:coin:list	0	0	1
1690	1665	2	F	账户退币申请		NULL	digital:coin:add	0	0	1
1691	1665	4	F	退币记录删除(未确认)		NULL	digital:coin:remove	0	0	1
1684	1665	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1685	1667	1	F	退现记录查询		NULL	digital:money:list	0	0	1
1693	1667	2	F	备款退现申请		NULL	digital:money:add	0	0	1
1686	1667	4	F	退现记录删除(未确认)		NULL	digital:money:remove	0	0	1
1732	1715	10	C	客户管理	customer	otherMedia/customer/index	digital:customer:list	0	0	1
1733	1715	20	C	市场主体/公司	body	otherMedia/customer/body/index	digital:customersubject:list	0	0	1
1734	1715	30	C	店铺管理	shop	otherMedia/shop/index	digital:shop:list	0	0	1
1735	1715	40	C	广告账户	advertising	otherMedia/advertising/account/index	digital:advertisingAccount:list	0	0	1
1739	1715	100	C	账户消耗	consumption	otherMedia/consumption/index	externalTransfer:consume:list	0	0	1
1738	1715	200	C	账户充值	recharge	otherMedia/customer/intermediary		0	0	1
1737	1715	210	C	转户管理	transfer	otherMedia/transfer/index		0	0	1
1736	1715	220	C	退币管理	coinreturn	otherMedia/coinreturn/index		0	0	1
1740	1715	400	M	我的	my	NULL		0	0	1
1747	1732	1	F	客户 详情	#		digital:customer:query	0	0	1
1752	1732	1	F	查看联系方式		NULL	tx:customer:phone	0	0	1
1755	1732	1	F	客户 查询		NULL	digital:customer:list	0	0	1
1748	1732	2	F	客户 新增	#		digital:customer:add	0	0	1
1749	1732	3	F	客户 修改	#		digital:customer:edit	0	0	1
1750	1732	4	F	客户 删除	#		digital:customer:remove	0	0	1
1751	1732	5	F	客户 导出	#		digital:customer:export	0	0	1
1753	1732	5	F	导入客户主体店铺		NULL	digital:customer:import	0	0	1
1754	1732	6	F	批量重置客户数据权限		NULL	digital:customer:restprice	0	0	1
1762	1733	1	F	 客户主体查询	#		digital:customersubject:query	0	0	1
1767	1733	1	F	查看联系方式		NULL	tx:customersubject:phone	0	0	1
1763	1733	2	F	 客户主体新增	#		digital:customersubject:add	0	0	1
1764	1733	3	F	 客户主体修改	#		digital:customersubject:edit	0	0	1
1765	1733	4	F	 客户主体删除	#		digital:customersubject:remove	0	0	1
1766	1733	5	F	 客户主体导出	#		digital:customersubject:export	0	0	1
1769	1734	1	F	 店铺查询	#		digital:shop:query	0	0	1
1770	1734	2	F	 店铺新增	#		digital:shop:add	0	0	1
1771	1734	3	F	 店铺修改	#		digital:shop:edit	0	0	1
1772	1734	4	F	 店铺删除	#		digital:shop:remove	0	0	1
1773	1734	5	F	 店铺导出	#		digital:shop:export	0	0	1
1776	1735	1	F	 广告账户查询	#		digital:advertisingAccount:query	0	0	1
1783	1735	1	F	广告账户导入		NULL	digital:advertisingAccount:import	0	0	1
1777	1735	2	F	 广告账户新增	#		digital:advertisingAccount:add	0	0	1
1778	1735	3	F	 广告账户修改	#		digital:advertisingAccount:edit	0	0	1
1779	1735	4	F	 广告账户删除	#		digital:advertisingAccount:remove	0	0	1
1780	1735	5	F	 广告账户导出	#		digital:advertisingAccount:export	0	0	1
1781	1735	7	F	申请退币		NULL	digital:coin:add	0	0	1
1782	1735	8	F	申请转户		NULL	digital:transferaccount:add	0	0	1
1791	1736	1	F	退币记录查询	#		digital:coin:list	0	0	1
1792	1736	2	F	 账户退币申请	#		digital:coin:add	0	0	1
1793	1736	4	F	退币记录删除(未确认)	#		digital:coin:remove	0	0	1
1794	1736	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1798	1737	1	F	转户记录查询	#		digital:transferaccount:list	0	0	1
1799	1737	2	F	账户转户申请	#		digital:transferaccount:add	0	0	1
1800	1737	4	F	转户记录删除(未确认)	#		digital:transferaccount:remove	0	0	1
1801	1737	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1805	1738	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
1806	1738	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1807	1738	4	F	充值记录删除(未确认)	#		digital:adveraccountRecharge:remove	0	0	1
1808	1738	5	F	媒介确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1812	1739	1	F	查询	#		externalTransfer:consume:query	0	0	1
1813	1739	2	F	渠道消耗记录新增	#		externalTransfer:consume:add	0	0	1
1814	1739	3	F	渠道消耗记录修改	#		digital:kuaishouconsume:edit	0	0	1
1815	1739	4	F	渠道消耗记录删除	#		externalTransfer:consume:remove	0	0	1
1816	1739	5	F	渠道消耗记录导出	#		externalTransfer:consume:export	0	0	1
1817	1739	6	F	消耗列表导入		NULL	externalTransfer:consume:import	0	0	1
10001	1739	7	F	调整消耗所属		NULL	digital:externalTransferaccountconsume:edit	0	0	1
1820	1740	100	C	现金收款	cashrecharge	kuaishou/customer/recharge		0	0	1
1824	1740	140	C	备款退现	refund	finance/refund/index		0	0	1
1819	1740	200	C	账户充值	recharge	otherMedia/customer/intermediary		0	0	1
1821	1740	210	C	账户转户	transfer	otherMedia/transfer/index		0	0	1
1822	1740	220	C	账户退币	coinreturn	otherMedia/coinreturn/index		0	0	1
1823	1740	300	C	待领取收款	receiveRecharge	kuaishou/customer/receiveRecharge	digital:receiveRecharge:list	0	0	1
1827	1819	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
1828	1819	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1826	1819	4	F	充值记录删除(未确认)		NULL	digital:adveraccountRecharge:remove	0	0	1
1829	1819	5	F	确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1835	1820	1	F	收款查询		NULL	digital:cashrecharge:list	0	0	1
1836	1820	2	F	申请收款		NULL	digital:cashrecharge:add	0	0	1
1833	1820	3	F	修改收款		NULL	digital:cashrecharge:edit	0	0	1
1834	1820	4	F	删除收款(未确认)		NULL	digital:cashrecharge:remove	0	0	1
1840	1821	1	F	转户记录查询		NULL	digital:transferaccount:list	0	0	1
1842	1821	2	F	账户转户申请		NULL	digital:transferaccount:add	0	0	1
1843	1821	4	F	转户记录删除(未确认)		NULL	digital:transferaccount:remove	0	0	1
1841	1821	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1847	1822	1	F	退币记录查询		NULL	digital:coin:list	0	0	1
1849	1822	2	F	账户退币申请		NULL	digital:coin:add	0	0	1
1850	1822	4	F	退币记录删除(未确认)		NULL	digital:coin:remove	0	0	1
1848	1822	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1854	1824	1	F	退现记录查询		NULL	digital:money:list	0	0	1
1856	1824	2	F	备款退现申请		NULL	digital:money:add	0	0	1
1855	1824	4	F	退现记录删除(未确认)		NULL	digital:money:remove	0	0	1
1864	1863	0	F	新增		NULL	digital:costrecord:add	0	0	1
1866	1865	10	C	客户管理	customer	xhs/customer/index	digital:customer:list	0	0	1
1876	1865	20	C	市场主体/公司	body	xhs/customer/body/index	digital:customersubject:list	0	0	1
1883	1865	30	C	店铺管理	shop	xhs/shop/index	digital:shop:list	0	0	1
1889	1865	40	C	广告账户	advertising	xhs/advertising/account/index	digital:advertisingAccount:list	0	0	1
1913	1865	100	C	账户消耗	consumption	xhs/consumption/index	digital:xhsaccountconsume:list	0	0	1
1908	1865	200	C	账户充值	recharge	xhs/customer/intermediary		0	0	1
1903	1865	210	C	转户管理	transfer	xhs/transfer/index		0	0	1
1898	1865	220	C	退币管理	coinreturn	xhs/coinreturn/index		0	0	1
1920	1865	400	M	我的	my	NULL		0	0	1
1867	1866	1	F	客户 详情	#		digital:customer:query	0	0	1
1872	1866	1	F	查看联系方式		NULL	tx:customer:phone	0	0	1
1875	1866	1	F	客户 查询		NULL	digital:customer:list	0	0	1
1868	1866	2	F	客户 新增	#		digital:customer:add	0	0	1
1869	1866	3	F	客户 修改	#		digital:customer:edit	0	0	1
1870	1866	4	F	客户 删除	#		digital:customer:remove	0	0	1
1871	1866	5	F	客户 导出	#		digital:customer:export	0	0	1
1873	1866	5	F	导入客户主体店铺		NULL	digital:customer:import	0	0	1
1874	1866	6	F	批量重置客户数据权限		NULL	digital:customer:restprice	0	0	1
1877	1876	1	F	 客户主体查询	#		digital:customersubject:query	0	0	1
1882	1876	1	F	查看联系方式		NULL	tx:customersubject:phone	0	0	1
1878	1876	2	F	 客户主体新增	#		digital:customersubject:add	0	0	1
1879	1876	3	F	 客户主体修改	#		digital:customersubject:edit	0	0	1
1880	1876	4	F	 客户主体删除	#		digital:customersubject:remove	0	0	1
1881	1876	5	F	 客户主体导出	#		digital:customersubject:export	0	0	1
1884	1883	1	F	 店铺查询	#		digital:shop:query	0	0	1
1885	1883	2	F	 店铺新增	#		digital:shop:add	0	0	1
1886	1883	3	F	 店铺修改	#		digital:shop:edit	0	0	1
1887	1883	4	F	 店铺删除	#		digital:shop:remove	0	0	1
1888	1883	5	F	 店铺导出	#		digital:shop:export	0	0	1
1890	1889	1	F	 广告账户查询	#		digital:advertisingAccount:query	0	0	1
1897	1889	1	F	广告账户导入		NULL	digital:advertisingAccount:import	0	0	1
1891	1889	2	F	 广告账户新增	#		digital:advertisingAccount:add	0	0	1
1892	1889	3	F	 广告账户修改	#		digital:advertisingAccount:edit	0	0	1
1893	1889	4	F	 广告账户删除	#		digital:advertisingAccount:remove	0	0	1
1894	1889	5	F	 广告账户导出	#		digital:advertisingAccount:export	0	0	1
1895	1889	7	F	申请退币		NULL	digital:coin:add	0	0	1
1896	1889	8	F	申请转户		NULL	digital:transferaccount:add	0	0	1
1899	1898	1	F	退币记录查询	#		digital:coin:list	0	0	1
1900	1898	2	F	 账户退币申请	#		digital:coin:add	0	0	1
1901	1898	4	F	退币记录删除(未确认)	#		digital:coin:remove	0	0	1
1902	1898	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1904	1903	1	F	转户记录查询	#		digital:transferaccount:list	0	0	1
1905	1903	2	F	账户转户申请	#		digital:transferaccount:add	0	0	1
1906	1903	4	F	转户记录删除(未确认)	#		digital:transferaccount:remove	0	0	1
1907	1903	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1909	1908	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
1910	1908	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1911	1908	4	F	充值记录删除(未确认)	#		digital:adveraccountRecharge:remove	0	0	1
1912	1908	5	F	媒介确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1914	1913	1	F	查询	#		\t digital:xhsaccountconsume:list	0	0	1
1915	1913	2	F	渠道消耗记录新增	#		digital:xhsaccountconsume:add	0	0	1
1916	1913	3	F	渠道消耗记录修改	#		digital:xhsaccountconsume:edit	0	0	1
1917	1913	4	F	渠道消耗记录删除	#		digital:xhsaccountconsume:remove	0	0	1
1918	1913	5	F	渠道消耗记录导出	#		digital:xhsaccountconsume:export	0	0	1
1919	1913	6	F	消耗列表导入		NULL	digital:xhsaccountconsume:import	0	0	1
1926	1920	100	C	现金收款	cashrecharge	kuaishou/customer/recharge		0	0	1
1942	1920	140	C	备款退现	refund	finance/refund/index		0	0	1
1921	1920	200	C	账户充值	recharge	xhs/customer/intermediary		0	0	1
1931	1920	210	C	账户转户	transfer	xhs/transfer/index		0	0	1
1936	1920	220	C	账户退币	coinreturn	xhs/coinreturn/index		0	0	1
1941	1920	300	C	待领取收款	receiveRecharge	kuaishou/customer/receiveRecharge	digital:receiveRecharge:list	0	0	1
1923	1921	1	F	充值记录查询	#		digital:adveraccountRecharge:list	0	0	1
1924	1921	2	F	账户充值申请	#		digital:adveraccountRecharge:add	0	0	1
1922	1921	4	F	充值记录删除(未确认)		NULL	digital:adveraccountRecharge:remove	0	0	1
1925	1921	5	F	确认充值		NULL	digital:adveraccountRecharge:confirmpay	0	0	1
1929	1926	1	F	收款查询		NULL	digital:cashrecharge:list	0	0	1
1930	1926	2	F	申请收款		NULL	digital:cashrecharge:add	0	0	1
1927	1926	3	F	修改收款		NULL	digital:cashrecharge:edit	0	0	1
1928	1926	4	F	删除收款(未确认)		NULL	digital:cashrecharge:remove	0	0	1
1932	1931	1	F	转户记录查询		NULL	digital:transferaccount:list	0	0	1
1934	1931	2	F	账户转户申请		NULL	digital:transferaccount:add	0	0	1
1935	1931	4	F	转户记录删除(未确认)		NULL	digital:transferaccount:remove	0	0	1
1933	1931	5	F	确认转户		NULL	digital:transferaccount:confirm	0	0	1
1937	1936	1	F	退币记录查询		NULL	digital:coin:list	0	0	1
1939	1936	2	F	账户退币申请		NULL	digital:coin:add	0	0	1
1940	1936	4	F	退币记录删除(未确认)		NULL	digital:coin:remove	0	0	1
1938	1936	5	F	确认退币		NULL	digital:coin:confirm	0	0	1
1943	1942	1	F	退现记录查询		NULL	digital:money:list	0	0	1
1945	1942	2	F	备款退现申请		NULL	digital:money:add	0	0	1
1944	1942	4	F	退现记录删除(未确认)		NULL	digital:money:remove	0	0	1
1949	1948	0	F	修改		NULL	digital:kuaishoujinfu:edit	0	0	1
1966	1965	0	F	申请转迁移主体		NULL	digital:subjectapply:add	0	0	1
1967	1965	0	F	确认迁移		NULL	digital:subjectapply:edit	0	0	1
1968	1965	0	F	删除迁移申请		NULL	digital:subjectapply:remove	0	0	1
